Time to verify permission,Symmetric encryption time,DHT storage time,Blockchain storage time,Overall time
6.880000000109021e-05,0.03759230000000002,0.014892899999999543,0.13691019999999554,0.19313559999999796
8.849999999682723e-05,0.0008581999999961454,0.0186743000000007,0.16097340000000315,0.2166368000000034
7.019999999613447e-05,0.0009242000000000417,5.022824799999995,0.16365319999999883,5.228120500000003
0.0001370000000022742,0.0005719000000041774,0.016539899999997942,0.1815599999999975,0.24796690000000154
8.070000000515165e-05,0.0009745999999992705,0.027307800000002658,0.1868368000000018,0.2512083999999959
8.95000000014079e-05,0.0006512000000000739,0.024174600000002044,0.168365399999999,0.22675709999999327
7.930000000300197e-05,0.0007845999999958053,0.019661299999995663,0.17856040000000206,0.2128297999999944
0.00014050000000054297,0.0007849000000064166,5.031458000000001,0.174270700000001,5.246680099999999
7.06000000008089e-05,0.001061800000002222,0.02813160000000181,0.1758108000000007,0.2442464999999956
6.850000000468981e-05,0.0008672000000018443,0.019561699999997018,0.17870809999999437,0.23478629999999612
7.389999999674046e-05,0.0007207999999963022,0.018342900000000384,0.17073779999999772,0.2240846999999988
3.279999999961092e-05,0.000575999999995247,0.01717199999999508,0.15243360000000195,0.18376440000000116
7.760000000445189e-05,0.0007410999999990509,0.015904200000001367,0.15705359999999757,0.1888650999999939
5.9299999996653696e-05,0.000658999999998855,0.020489499999996497,0.19215189999999893,0.24632910000000408
7.560000000239597e-05,0.0007286999999962518,0.017310399999999504,0.17698210000000358,0.23169079999999553
0.00013299999999816237,0.0009701999999975897,0.034442599999998436,0.16932239999999865,0.23906369999999555
0.00010240000000294458,0.0010238999999998555,0.016559600000000785,0.16859949999999913,0.20202859999999845
9.000000000014552e-05,0.00077370000000343,0.017438900000001922,0.17356920000000287,0.22906699999999347
0.00011719999999115771,0.0006775999999888427,0.02439950000000124,0.1504862999999972,0.20401860000001193
8.460000000809487e-05,0.0006524000000069918,0.016959200000002284,0.1916358999999943,0.2520015999999998
